,Unnamed: 0,channel_id,channel_title_name,totalchannel_views_count,total_subscriber_count,total_video_count,playlist_id,playlist_name,video_id,title_name,liveBroadcastContent,total_views_count,publishing_date,likeCount,favoriteCount,commentCount
36,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,paVL-trB1KA,Input a List using split() Method in Python,none,9028,2023-08-01T15:00:42Z,169,0,total_comment_count
37,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,OK0N7KWSBbo,Input a List using split() Method and Loops in Python,none,4886,2023-08-02T15:00:32Z,91,0,total_comment_count
38,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,KuyPs2zP8Uo,Changing List Items in Python,none,4475,2023-08-03T13:30:12Z,89,0,total_comment_count
39,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,f8YtlYffg7g,Removing List Items in Python,none,4034,2023-08-04T14:00:35Z,92,0,total_comment_count
40,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,-_L0SHhFMC4,List Comprehension in Python,none,5693,2023-08-06T14:45:00Z,118,0,total_comment_count
41,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,IpfE8qKtkCk,Python Programming - Rapid Fire Quiz 2,none,3653,2023-08-08T13:30:11Z,106,0,total_comment_count
42,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",f2RATcdPcrE,Introduction to Lists in Python,none,13910,2023-07-26T14:30:28Z,220,0,total_comment_count
43,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",pLM1N5Esg8Q,Accessing Elements of a List in Python,none,7748,2023-07-28T17:00:38Z,132,0,total_comment_count
44,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",VZ9QmyPjXJw,Adding Elements to a List in Python,none,6881,2023-07-29T15:45:01Z,135,0,total_comment_count
45,3.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRhJ_qiFbz9KZB1CO1HXBDHb,"Lists, Dictionaries, & Tuples in Python | Chapter-5 | Python Programming",7-bfZPsa4VA,input() Method in Python,none,4681,2023-07-30T15:45:00Z,124,0,total_comment_count
